iter	Passed	Remaining
757	5336	1703
758	5345	1697
759	5353	1690
760	5362	1684
761	5371	1677
762	5379	1670
763	5387	1664
764	5396	1657
765	5405	1651
766	5415	1645
767	5423	1638
768	5432	1631
769	5440	1625
770	5448	1618
771	5457	1611
772	5466	1605
773	5477	1599
774	5485	1592
775	5495	1586
776	5504	1579
777	5512	1572
778	5519	1565
779	5527	1558
780	5536	1552
781	5545	1546
782	5553	1539
783	5561	1532
784	5571	1525
785	5580	1519
786	5590	1513
787	5600	1506
788	5609	1500
789	5617	1493
790	5626	1486
791	5634	1479
792	5643	1473
793	5652	1466
794	5663	1460
795	5673	1454
796	5682	1447
797	5692	1440
798	5700	1434
799	5710	1427
800	5720	1421
801	5730	1414
802	5742	1408
803	5752	1402
804	5763	1396
805	5774	1389
806	5785	1383
807	5796	1377
808	5806	1370
809	5818	1364
810	5829	1358
811	5840	1352
812	5850	1345
813	5860	1339
814	5869	1332
815	5880	1325
816	5889	1319
817	5898	1312
818	5906	1305
819	5915	1298
820	5923	1291
821	5932	1284
822	5942	1277
823	5950	1271
824	5959	1264
825	5971	1257
826	5979	1250
827	5987	1243
828	5996	1236
829	6003	1229
830	6011	1222
831	6019	1215
832	6027	1208
833	6035	1201
834	6043	1194
835	6051	1187
836	6058	1179
837	6066	1172
838	6074	1165
839	6082	1158
840	6090	1151
841	6098	1144
842	6107	1137
843	6116	1130
844	6124	1123
845	6133	1116
846	6141	1109
847	6150	1102
848	6158	1095
849	6166	1088
850	6175	1081
851	6185	1074
852	6195	1067
853	6205	1060
854	6215	1054
855	6225	1047
856	6234	1040
857	6243	1033
858	6253	1026
859	6264	1019
860	6273	1012
861	6282	1005
862	6291	998
863	6300	991
864	6309	984
865	6317	977
866	6326	970
867	6336	963
868	6358	958
869	6369	951
870	6380	944
871	6408	940
872	6430	935
873	6440	928
874	6456	922
875	6467	915
876	6486	909
877	6498	903
878	6510	896
879	6522	889
880	6535	882
881	6547	875
882	6557	868
883	6567	861
884	6580	855
885	6593	848
886	6606	841
887	6618	834
888	6632	828
889	6644	821
890	6662	815
891	6672	807
892	6688	801
893	6705	795
894	6718	788
895	6735	781
896	6748	774
897	6763	768
898	6774	761
899	6784	753
900	6798	747
901	6809	739
902	6824	733
903	6835	725
904	6846	718
905	6858	711
906	6867	704
907	6878	696
908	6888	689
909	6897	682
910	6907	674
911	6916	667
912	6927	660
913	6936	652
914	6945	645
915	6955	637
916	6965	630
917	6975	623
918	6987	615
919	6998	608
920	7007	601
921	7019	593
922	7031	586
923	7040	579
924	7049	571
925	7058	564
926	7067	556
927	7077	549
928	7087	541
929	7096	534
930	7106	526
931	7115	519
932	7124	511
933	7134	504
934	7144	496
935	7154	489
936	7164	481
937	7176	474
938	7188	466
939	7201	459
940	7213	452
941	7225	444
942	7237	437
943	7247	429
944	7257	422
945	7267	414
946	7277	407
947	7287	399
948	7296	392
949	7307	384
950	7316	377
951	7326	369
952	7335	361
953	7349	354
954	7358	346
955	7367	339
956	7376	331
957	7386	323
958	7396	316
959	7405	308
960	7416	300
961	7425	293
962	7434	285
963	7444	278
964	7454	270
965	7463	262
966	7472	255
967	7480	247
968	7489	239
969	7499	231
970	7508	224
971	7517	216
972	7526	208
973	7535	201
974	7543	193
975	7552	185
976	7561	178
977	7570	170
978	7579	162
979	7588	154
980	7597	147
981	7606	139
982	7614	131
983	7625	123
984	7634	116
985	7643	108
986	7655	100
987	7666	93
988	7675	85
989	7685	77
990	7696	69
991	7708	62
992	7730	54
993	7741	46
994	7763	39
995	7778	31
996	7789	23
997	7801	15
998	7810	7
999	7821	0
